Min;Sec;Zone;Pass;Start;End;Protection;Contested;Speed;SF;Outcome;Opp
92;27;Opp22;1;8.744;10.184;2;none;1.44;DC;ground pass;
98;44;Opp50-10;1;5.006;7.246;2;none;2.24;Joe Gray;ground pass;
98;50;Own10-50;1;10.966;17.006;3;none;6.04;Tyrone Green;ground pass;
105;5;Own10-50;0;23.28;25.84;3;none;2.56;ML;ground pass;
107;18;Opp10-22;1;52.373;62.093;3;attempt;9.72;ML;ground pass;
107;29;Opp10-22;1;3.907;;3;jackaled;;;;
0;25;Opp10-22;0;36.732;39.332;4;attempt;2.6;DC;ground pass;
0;31;Opp50-10;1;42.656;44.236;2;attempt;1.58;DC;ground pass;
0;36;Opp50-10;1;47.747;49.077;1;none;1.33;DC;pick-and-go;
0;39;Opp10-22;0;50.895;52.598;3;none;1.703;none;pass;
0;47;Opp10-22;2;58.394;60.174;2;attempt;1.78;DC;ground pass;
2;10;Own22-10;0;51.341;53.521;3;attempt;2.18;DC;ground pass;
2;16;Own22-10;1;58.036;67.279;4;none;9.243;DC;box-kick;
3;35;Opp10-22;3;17.057;19.517;2;none;2.46;DC;ground pass;
3;43;Opp10-22;2;25.26;28.14;3;disruption;2.88;DC;ground pass;
3;50;Opp10-22;2;32.02;33.485;2;none;1.465;DC;pick-and-go;
6;8;Own22-10;0;49.728;53.808;2;none;4.08;DC;ground pass;
6;16;Own22;1;57.307;63.387;4;none;6.08;DC;box-kick;
9;47;Opp10-22;0;28.81;;2;jackaled;;;;
22;46;Opp50-10;1;25.004;28.964;4;none;3.96;DC;ground pass;
23;47;Own22-10;0;;;3;attempt;;;EXE pen;
24;54;Opp10-22;4;33.072;35.772;2;attempt;2.7;DC;ground pass;
30;52;Own22-10;1;14.071;22.274;5;attempt;8.203;DC;box-kick;
31;11;Own10-50;0;30.547;32.487;3;none;1.94;DC;ground pass;
33;19;Opp22;1;7.877;9.697;2;none;1.82;DC;pick-and-go;
33;25;Opp22;1;13.244;16.944;3;attempt;3.7;DC;ground pass;
33;31;Opp22;1;19.452;22.232;3;none;2.78;DC;pick-and-go;
33;36;Opp22;0;24.893;31.633;4;disruption;6.74;Scott Baldwin;ground pass;
33;47;Opp22;1;35.357;37.497;2;disruption;2.14;Joe Marler;pick-and-go;
33;51;Opp22;0;39.522;44.382;2;disruption;4.86;DC;ground pass;
34;0;Opp22;1;;;2;attempt;;;EXE pen;
37;5;Opp22;1;20.109;22.289;2;none;2.18;DC;ground pass;
37;9;Opp22;1;24.485;27.645;3;none;3.16;DC;ground pass;
39;9;Own22-10;0;24.172;29.048;3;disruption;4.876;DC;ground pass;
39;16;Own22-10;1;31.739;40.419;5;none;8.68;DC;box-kick;
39;42;Own10-50;0;57.387;60.693;2;none;3.306;Joe Marler;ground pass;
42;18;Opp22;4;34.79;37.11;2;attempt;2.32;DC;ground pass;
42;24;Opp22;1;40.446;42.746;2;attempt;2.3;none;pass;
44;42;Opp22;0;58.578;61.598;3;attempt;3.02;Stephen Lewies;pick-and-go;
44;47;Opp22;0;3.507;7.027;2;attempt;3.52;DC;ground pass;
40;8;Own22-10;0;55.985;61.425;2;none;5.44;DC;ground pass;
40;16;Own22;1;4.362;12.569;5;disruption;8.207;DC;box-kick;
41;16;Own22-10;0;4.125;7.266;3;disruption;3.141;Tyrone Green;ground pass;
41;22;Own22-10;1;10.382;19.322;5;disruption;8.94;DC;box-kick;
42;6;Opp50-10;0;54.371;56.871;2;none;2.5;DC;ground pass;
42;29;Opp50-10;1;17.042;19.282;3;attempt;2.24;DC;ground pass;
42;51;Opp50-10;0;39.865;45.405;3;attempt;5.54;DC;ground pass;
43;1;Opp50-10;3;49.485;51.905;1;attempt;2.42;DC;ground pass;
43;25;Opp10-22;2;14.366;15.526;1;none;1.16;Stephen Lewies;ground pass;
43;39;Opp22;5;27.192;28.332;1;attempt;1.14;DC;ground pass;
51;19;Own22;0;45.184;47.724;1;attempt;2.54;Andre Esterhuizen;pick-and-go;
51;24;Own22;0;50.804;60.224;5;attempt;9.42;DC;ground pass;
51;35;Own22;1;1.92;8.009;5;attempt;6.089;DC;box-kick;
52;17;Own22-10;0;0.881;6.681;2;attempt;5.8;Andre Esterhuizen;ground pass;
52;26;Own22-10;1;10.356;12.936;2;none;2.58;DC;ground pass;
55;20;Opp50-10;0;3.725;5.808;2;attempt;2.083;DC;ground pass;
55;27;Opp10-22;2;10.593;14.593;2;attempt;4;DC;ground pass;
55;36;Opp10-22;2;19.043;20.644;3;none;1.601;DC;ground pass;
57;3;Opp22;1;47.518;49.886;2;none;2.368;DC;ground pass;
57;9;Opp22;1;;;2;attempt;;;HAR pen;
60;25;Opp50-10;0;31.428;37.079;3;disruption;5.651;DC;ground pass;
60;34;Opp50-10;1;40.651;44.091;2;none;3.44;DC;ground pass;
60;41;Own10-50;2;47.344;50.684;2;none;3.34;DC;ground pass;
60;47;Opp50-10;1;53.252;54.712;2;none;1.46;DC;ground pass;
61;18;Opp10-22;3;;;2;attempt;;;HAR pen;
67;46;Own22-10;0;52.116;54.376;3;none;2.26;DC;ground pass;
67;52;Own22-10;1;57.835;67.363;5;none;9.528;DC;box-kick;
68;40;Own22;0;46.411;52.639;4;disruption;6.228;DC;ground pass;
68;50;Own22;1;56.139;68.91;5;disruption;12.771;DC;box-kick;
70;39;Opp22;3;13.858;18.798;2;attempt;4.94;DC;ground pass;
70;48;Opp10-22;1;22.964;24.745;2;none;1.781;DC;ground pass;
70;54;Opp10-22;1;28.008;30.948;2;attempt;2.94;DC;ground pass;
71;0;Opp10-22;1;34.042;35.922;2;attempt;1.88;DC;ground pass;
71;9;Opp22;4;43.858;47.638;1;attempt;3.78;DC;ground pass;
71;16;Opp22;2;50.863;53.263;3;none;2.4;DC;ground pass;
74;39;Opp10-22;1;55.991;59.111;2;attempt;3.12;DC;ground pass;
74;48;Opp22;2;4.971;7.451;2;disruption;2.48;DC;ground pass;
74;52;Opp22;1;8.819;16.299;3;attempt;7.48;Joe Marchant;ground pass;
75;1;Opp22;1;18.408;23.648;3;attempt;5.24;Joe Marchant;ground pass;
75;9;Opp22;1;25.683;29.403;2;disruption;3.72;DC;ground pass;
75;15;Opp22;1;32.265;34.485;2;attempt;2.22;DC;ground pass;
75;24;Opp22;3;40.933;45.053;3;none;4.12;DC;ground pass;
75;31;Opp22;1;47.766;50.546;3;none;2.78;DC;ground pass;
75;35;Opp22;1;52.594;59.614;2;attempt;7.02;DC;ground pass;
75;47;Opp22;1;4.63;7.11;2;attempt;2.48;DC;ground pass;
79;42;Opp22;1;59.239;66.719;3;disruption;7.48;DC;ground pass;
79;51;Opp22;1;8.548;15.448;4;disruption;6.9;DC;kick into touch;
